episode,score,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
236,206134.2220,0.23,-0.26,128.03,0.17,-0.21,28.18
237,206204.0771,-0.21,0.06,128.03,-0.13,0.08,28.18
238,206283.4206,-0.06,0.14,128.03,-0.06,0.11,28.18
239,206174.9828,0.27,0.13,128.03,0.19,0.07,28.18
240,206317.4677,-0.08,-0.08,128.03,-0.06,-0.07,28.18
241,206208.9282,-0.27,-0.02,128.03,-0.21,-0.01,28.18
242,206301.5669,-0.08,0.05,128.03,-0.05,0.01,28.18
243,206226.9535,-0.11,-0.27,128.03,-0.09,-0.19,28.18
244,206161.6587,0.07,-0.41,128.03,0.08,-0.31,28.18
245,206238.5930,-0.07,-0.17,128.03,-0.03,-0.12,28.18
246,206299.6285,-0.02,0.03,128.03,0.0,0.05,28.18
247,206227.7216,-0.16,0.0,128.03,-0.12,-0.04,28.18
248,206290.7283,0.0,-0.01,128.03,0.03,0.02,28.18
249,206332.1974,-0.07,0.06,128.03,-0.06,0.05,28.18
250,206298.9142,-0.08,0.07,128.03,-0.06,0.04,28.18
251,206247.6121,0.16,0.0,128.03,0.12,0.02,28.18
252,206283.6914,0.14,-0.09,128.03,0.13,-0.07,28.18
253,206286.5077,-0.05,0.13,128.03,-0.06,0.09,28.18
254,206299.7437,0.13,-0.08,128.03,0.1,-0.06,28.18
255,206251.2179,-0.17,0.14,128.03,-0.16,0.1,28.18
256,206298.6331,0.11,-0.15,128.03,0.09,-0.11,28.18
257,206286.6453,-0.06,-0.15,128.03,-0.06,-0.13,28.18
258,206288.1348,-0.13,0.01,128.03,-0.07,0.0,28.18
259,206300.8416,-0.06,-0.12,128.03,-0.04,-0.1,28.18
260,206266.1256,0.11,-0.01,128.03,0.06,-0.05,28.18
261,206291.3239,-0.27,0.02,128.03,-0.24,0.01,28.18
262,206321.9623,-0.08,0.07,128.03,-0.05,0.05,28.18
263,206277.5792,0.12,0.14,128.03,0.09,0.1,28.18
264,206214.1879,-0.15,-0.11,128.03,-0.12,-0.03,28.18
265,206284.3455,-0.11,-0.02,128.03,-0.05,-0.02,28.18
266,206315.0832,-0.08,0.04,128.03,-0.08,0.04,28.18
267,206232.8207,0.1,-0.1,128.03,0.07,-0.04,28.18
268,206325.5737,0.01,0.07,128.03,0.03,0.04,28.18
269,206304.8094,0.01,-0.06,128.03,0.02,-0.03,28.18
270,206175.1451,-0.21,0.03,128.03,-0.1,0.01,28.18
271,206147.5614,-0.34,0.19,128.03,-0.25,0.14,28.18
272,206142.8939,0.33,-0.07,128.03,0.21,-0.03,28.18
273,206250.6712,-0.19,0.08,128.03,-0.14,0.06,28.18
274,206184.8809,0.14,-0.16,128.03,0.06,-0.1,28.18
275,206327.5776,0.04,-0.02,128.03,0.01,-0.01,28.18
276,206295.7068,0.05,0.02,128.03,0.03,0.03,28.18
277,206237.2944,-0.08,0.17,128.03,-0.06,0.12,28.18
278,206185.9669,-0.21,0.15,128.03,-0.17,0.09,28.18
279,206153.7857,-0.42,0.05,128.03,-0.29,0.05,28.18
280,206202.9510,0.09,-0.21,128.03,0.06,-0.13,28.18
281,206270.5433,0.11,0.1,128.03,0.07,0.06,28.18
282,206154.9374,-0.17,0.34,128.03,-0.13,0.24,28.18
283,206233.6105,-0.03,-0.14,128.03,-0.0,-0.1,28.18
284,206226.4800,0.08,-0.18,128.03,0.05,-0.11,28.18
285,206285.2881,0.08,-0.01,128.03,0.05,0.01,28.18
286,206312.5841,-0.09,-0.02,128.03,-0.11,-0.02,28.18
287,206161.2066,0.09,0.21,128.03,0.05,0.1,28.18
288,206231.0345,0.22,0.24,128.03,0.16,0.18,28.18
289,206213.9664,0.03,0.17,128.03,0.06,0.11,28.18
290,206171.1447,0.11,-0.3,128.03,0.06,-0.21,28.18
291,206248.9800,-0.19,0.06,128.03,-0.12,0.05,28.18
292,206279.2648,0.14,-0.01,128.03,0.1,-0.02,28.18
293,206223.9605,-0.16,0.01,128.03,-0.09,-0.01,28.18
294,206282.4246,0.13,-0.06,128.03,0.13,-0.06,28.18
295,206227.7153,0.18,-0.13,128.03,0.1,-0.11,28.18
296,206187.5492,0.05,-0.33,128.03,0.03,-0.26,28.18
297,206061.5418,-0.06,0.47,128.03,-0.01,0.32,28.18
298,206320.2480,0.05,0.07,128.03,0.06,0.06,28.18
299,206261.8388,0.17,-0.04,128.03,0.11,-0.01,28.18
300,206303.1679,0.0,-0.08,128.03,0.01,-0.03,28.18
301,206282.6839,-0.01,-0.21,128.03,0.0,-0.16,28.18
302,206325.9581,-0.01,-0.13,128.03,-0.0,-0.09,28.18
303,206273.4852,-0.07,0.15,128.03,-0.05,0.12,28.18
304,206229.8019,0.1,-0.23,128.03,0.06,-0.15,28.18
305,206139.6250,-0.21,-0.18,128.03,-0.14,-0.12,28.18
306,206270.8549,0.08,-0.13,128.03,0.03,-0.1,28.18
307,206294.3875,0.01,0.08,128.03,-0.02,0.05,28.18
308,206258.8866,-0.09,-0.07,128.03,-0.05,-0.05,28.18
309,206228.0086,0.12,0.1,128.03,0.06,0.07,28.18
310,206285.8592,0.02,0.03,128.03,0.05,0.05,28.18
311,206285.0583,0.01,-0.04,128.03,0.05,-0.03,28.18
312,206132.1379,0.07,-0.25,128.03,0.03,-0.15,28.18
313,206139.7536,-0.15,-0.32,128.03,-0.11,-0.25,28.18
314,206129.0664,0.18,0.14,128.03,0.1,0.04,28.18
315,206267.4635,-0.03,0.14,128.03,-0.03,0.09,28.18
316,206171.6129,-0.24,0.17,128.03,-0.15,0.13,28.18
317,206222.3853,0.12,-0.06,128.03,0.03,-0.04,28.18
318,206160.6777,-0.18,-0.22,128.03,-0.14,-0.15,28.18
319,206209.1954,0.12,-0.13,128.03,0.06,-0.08,28.18
320,206348.1365,-0.01,0.03,128.03,0.01,0.04,28.18
321,206321.6616,-0.06,-0.01,128.03,-0.07,-0.01,28.18
322,206216.3661,0.09,-0.08,128.03,0.05,-0.03,28.18
323,206279.3798,0.01,0.12,128.03,-0.01,0.09,28.18
324,206183.9559,0.23,0.09,128.03,0.15,0.09,28.18
325,206293.5201,0.08,0.03,128.03,0.07,0.06,28.18
326,206107.1810,0.25,-0.33,128.03,0.17,-0.21,28.18
327,206082.1240,0.09,-0.43,128.03,0.06,-0.3,28.18
328,206196.4225,-0.12,0.2,128.03,-0.08,0.1,28.18
329,206192.2989,-0.26,0.21,128.03,-0.2,0.16,28.18
330,206312.6976,-0.04,-0.02,128.03,-0.03,0.01,28.18
331,206306.3680,0.06,0.12,128.03,0.07,0.12,28.18
332,206169.0541,0.22,0.17,128.03,0.15,0.11,28.18
333,206290.3365,0.14,0.01,128.03,0.09,-0.01,28.18
334,206307.4886,0.06,-0.05,128.03,0.06,0.0,28.18
335,206246.6208,-0.08,0.17,128.03,-0.07,0.11,28.18
336,206153.0761,-0.18,-0.17,128.03,-0.11,-0.13,28.18
337,206333.8318,-0.01,-0.01,128.03,-0.0,-0.02,28.18
338,206344.9646,-0.07,0.0,128.03,-0.05,-0.0,28.18
339,206204.8157,0.01,0.32,128.03,0.0,0.22,28.18
340,206297.9310,0.09,-0.07,128.03,0.09,-0.06,28.18
341,206200.1199,0.01,0.32,128.03,0.02,0.21,28.18
342,206203.0179,0.36,0.02,128.03,0.27,0.02,28.18
343,206176.4847,-0.14,-0.18,128.03,-0.06,-0.15,28.18
344,206311.0290,-0.11,-0.06,128.03,-0.08,-0.03,28.18
345,206240.9379,-0.17,0.12,128.03,-0.13,0.09,28.18
346,206172.3598,0.21,0.13,128.03,0.14,0.08,28.18
347,206222.1662,-0.17,0.15,128.03,-0.1,0.13,28.18
348,206312.4970,-0.13,0.03,128.03,-0.12,0.02,28.18
349,206181.4776,-0.18,0.22,128.03,-0.14,0.13,28.18
350,206176.9697,-0.13,0.15,128.03,-0.09,0.07,28.18
351,206222.5635,0.26,-0.01,128.03,0.18,-0.0,28.18
